order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at,shoe_price
54,33,842,692,4,debit,08/03/2017 7:36,173
55,79,823,181,1,cash,25/03/2017 4:47,181
56,51,851,561,3,credit_card,13/03/2017 5:05,187
57,53,739,560,5,credit_card,18/03/2017 8:45,112
58,51,759,187,1,cash,30/03/2017 22:34,187
59,47,837,145,1,credit_card,13/03/2017 6:35,145
60,80,908,145,1,debit,27/03/2017 9:03,145
61,42,607,704000,2000,credit_card,04/03/2017 4:00,352
62,60,720,531,3,debit,21/03/2017 18:08,177
63,86,981,260,2,debit,24/03/2017 6:11,130
64,91,962,160,1,debit,01/03/2017 19:05,160
65,72,887,480,3,credit_card,02/03/2017 0:15,160
66,7,988,112,1,debit,29/03/2017 10:22,112
67,66,743,322,2,cash,01/03/2017 10:40,161
68,21,812,284,2,debit,03/03/2017 15:52,142
69,86,994,390,3,credit_card,21/03/2017 22:05,130
70,58,876,138,1,debit,04/03/2017 10:38,138
71,11,725,184,1,credit_card,14/03/2017 17:12,184
72,34,813,122,1,credit_card,20/03/2017 17:43,122
73,86,960,130,1,debit,04/03/2017 14:15,130
74,14,968,116,1,cash,22/03/2017 0:14,116
75,5,862,142,1,credit_card,26/03/2017 9:14,142
76,84,744,459,3,cash,06/03/2017 0:39,153
77,20,975,127,1,cash,19/03/2017 13:05,127
78,41,985,354,3,cash,22/03/2017 13:41,118
79,8,806,132,1,credit_card,27/03/2017 3:39,132
80,20,838,254,2,credit_card,03/03/2017 14:00,127
81,52,979,584,4,credit_card,11/03/2017 14:30,146
82,28,868,328,2,debit,04/03/2017 6:53,164
83,48,857,234,2,cash,11/03/2017 18:14,117
84,100,817,111,1,cash,12/03/2017 22:10,111
85,41,707,118,1,debit,30/03/2017 12:05,118
86,53,908,224,2,credit_card,27/03/2017 20:46,112
87,56,711,234,2,credit_card,17/03/2017 2:08,117
88,64,713,399,3,credit_card,04/03/2017 12:15,133
89,55,998,513,3,credit_card,09/03/2017 13:22,171
90,28,705,164,1,cash,11/03/2017 18:13,164
91,50,744,193,1,debit,02/03/2017 6:36,193
92,3,835,296,2,credit_card,09/03/2017 4:01,148
93,22,856,146,1,credit_card,24/03/2017 11:47,146
94,58,810,276,2,debit,07/03/2017 4:27,138
95,87,961,149,1,cash,21/03/2017 3:20,149
96,35,975,328,2,credit_card,01/03/2017 6:27,164
97,70,758,346,2,cash,07/03/2017 14:57,173
98,92,850,180,2,cash,22/03/2017 19:21,90
99,79,741,181,1,debit,16/03/2017 0:16,181
100,18,752,780,5,cash,06/03/2017 23:41,156
101,77,972,156,1,credit_card,17/03/2017 6:45,156
102,74,923,612,4,credit_card,28/03/2017 11:00,153
103,41,964,354,3,cash,17/03/2017 7:59,118
104,53,740,224,2,cash,17/03/2017 7:29,112
105,54,803,532,4,cash,28/03/2017 5:30,133
106,13,746,320,2,cash,16/03/2017 15:04,160
107,87,953,149,1,cash,17/03/2017 8:03,149
108,12,732,201,1,credit_card,21/03/2017 20:26,201
109,58,926,276,2,cash,01/03/2017 3:15,138
110,58,774,414,3,cash,01/03/2017 10:01,138
111,83,893,129,1,cash,27/03/2017 7:07,129
112,68,984,136,1,credit_card,11/03/2017 9:43,136
113,73,885,165,1,debit,06/03/2017 0:59,165
114,69,857,262,2,credit_card,13/03/2017 21:33,131
115,41,755,590,5,cash,20/03/2017 23:15,118
116,25,791,260,2,credit_card,19/03/2017 21:46,130
117,6,813,374,2,debit,10/03/2017 14:25,187
118,61,759,316,2,debit,29/03/2017 22:43,158
119,84,789,153,1,credit_card,05/03/2017 4:08,153
120,98,745,266,2,credit_card,17/03/2017 20:34,133
121,5,774,284,2,credit_card,26/03/2017 8:16,142
122,13,958,480,3,credit_card,22/03/2017 13:12,160
123,35,997,492,3,debit,05/03/2017 1:16,164
124,24,949,280,2,cash,11/03/2017 1:58,140
125,2,983,188,2,credit_card,13/03/2017 13:07,94
126,49,884,258,2,cash,19/03/2017 3:22,129
127,18,839,624,4,debit,09/03/2017 10:47,156
128,77,817,312,2,credit_card,05/03/2017 18:46,156
129,63,963,544,4,debit,25/03/2017 5:52,136
130,51,721,561,3,debit,14/03/2017 3:54,187
131,75,723,256,2,debit,28/03/2017 6:01,128
132,33,777,346,2,debit,13/03/2017 18:46,173
133,53,963,224,2,credit_card,03/03/2017 2:32,112
134,24,894,280,2,credit_card,08/03/2017 4:56,140
135,86,845,390,3,cash,27/03/2017 9:54,130
136,58,742,276,2,debit,19/03/2017 17:25,138
137,15,961,765,5,credit_card,26/03/2017 5:06,153
138,34,760,122,1,debit,30/03/2017 17:31,122
139,5,915,426,3,cash,28/03/2017 0:09,142
140,55,789,513,3,debit,29/03/2017 16:36,171
141,57,930,441,3,debit,15/03/2017 12:36,147
142,73,935,165,1,cash,26/03/2017 14:23,165
143,80,855,145,1,debit,11/03/2017 1:13,145
144,80,979,290,2,debit,30/03/2017 10:41,145
145,21,828,284,2,debit,18/03/2017 20:13,142
146,72,906,640,4,cash,30/03/2017 9:55,160
147,100,899,111,1,debit,05/03/2017 16:49,111
148,57,715,294,2,credit_card,17/03/2017 7:01,147
149,71,985,164,1,credit_card,04/03/2017 17:21,164
150,100,847,222,2,debit,12/03/2017 21:36,111
151,47,718,435,3,credit_card,06/03/2017 5:24,145
152,16,755,156,1,credit_card,03/03/2017 23:20,156
153,33,808,173,1,cash,13/03/2017 22:14,173
154,64,942,266,2,cash,21/03/2017 7:05,133
155,33,872,173,1,debit,29/03/2017 14:56,173
156,9,986,118,1,cash,13/03/2017 11:07,118
157,84,734,306,2,credit_card,04/03/2017 8:05,153
158,88,906,352,2,credit_card,24/03/2017 5:44,176
159,92,795,90,1,credit_card,29/03/2017 3:07,90
160,73,725,330,2,debit,22/03/2017 18:08,165
161,78,990,25725,1,credit_card,12/03/2017 5:56,25725
162,3,877,296,2,debit,20/03/2017 17:07,148
163,93,913,228,2,cash,26/03/2017 23:54,114
164,63,915,272,2,debit,01/03/2017 6:07,136
165,29,941,489,3,cash,09/03/2017 16:26,163
166,44,921,144,1,credit_card,26/03/2017 23:17,144
167,14,754,464,4,debit,07/03/2017 19:47,116
168,56,913,468,4,credit_card,11/03/2017 19:37,117
169,48,797,351,3,credit_card,08/03/2017 6:12,117
170,5,970,284,2,debit,24/03/2017 0:33,142
171,91,828,480,3,credit_card,28/03/2017 8:18,160
172,57,724,147,1,debit,17/03/2017 7:08,147
173,55,778,342,2,cash,02/03/2017 23:54,171
174,7,956,224,2,debit,04/03/2017 11:33,112
175,49,918,387,3,debit,13/03/2017 15:25,129
176,50,792,193,1,credit_card,20/03/2017 13:51,193
177,97,718,648,4,cash,16/03/2017 6:33,162
178,57,849,441,3,cash,20/03/2017 5:20,147
179,30,849,153,1,debit,25/03/2017 4:09,153
180,37,897,142,1,debit,02/03/2017 22:40,142
181,12,871,201,1,cash,02/03/2017 4:37,201
182,20,823,127,1,cash,03/03/2017 16:29,127
183,86,901,260,2,credit_card,16/03/2017 17:47,130
184,26,920,176,1,cash,08/03/2017 0:38,176
185,34,944,488,4,debit,24/03/2017 5:49,122
186,71,888,328,2,debit,30/03/2017 5:46,164
187,93,749,228,2,credit_card,06/03/2017 3:43,114
188,41,980,118,1,cash,02/03/2017 3:13,118
189,17,734,176,1,cash,11/03/2017 10:36,176
190,43,928,362,2,debit,30/03/2017 7:00,181
191,7,805,112,1,credit_card,22/03/2017 5:28,112
192,26,922,352,2,cash,17/03/2017 17:51,176
193,28,879,328,2,credit_card,15/03/2017 14:35,164
194,15,942,153,1,cash,13/03/2017 14:19,153
195,63,946,408,3,cash,12/03/2017 0:07,136
196,37,745,426,3,credit_card,01/03/2017 3:00,142
197,85,809,516,3,debit,21/03/2017 10:58,172
198,19,960,326,2,debit,05/03/2017 20:01,163
199,27,976,338,2,credit_card,24/03/2017 16:25,169
200,56,961,117,1,cash,08/03/2017 22:18,117
201,29,929,163,1,credit_card,15/03/2017 11:12,163
202,31,967,258,2,credit_card,04/03/2017 20:47,129
203,67,768,393,3,cash,28/03/2017 7:25,131
204,36,785,260,2,credit_card,22/03/2017 19:20,130
205,39,987,268,2,cash,19/03/2017 5:09,134
206,89,747,588,3,debit,04/03/2017 4:01,196
207,16,746,156,1,cash,09/03/2017 21:53,156
208,88,999,176,1,debit,08/03/2017 11:30,176
209,88,771,176,1,cash,10/03/2017 5:17,176
210,37,727,284,2,debit,20/03/2017 11:06,142
211,13,701,160,1,credit_card,04/03/2017 8:20,160
212,22,712,292,2,credit_card,30/03/2017 9:40,146
213,88,787,352,2,credit_card,13/03/2017 17:28,176
214,26,980,352,2,cash,10/03/2017 13:59,176
215,54,742,399,3,credit_card,27/03/2017 3:28,133
216,41,793,236,2,cash,17/03/2017 1:55,118
217,32,862,202,2,debit,09/03/2017 16:46,101
218,15,960,306,2,credit_card,27/03/2017 10:44,153
219,75,978,256,2,cash,04/03/2017 7:50,128
220,23,884,780,5,credit_card,03/03/2017 20:11,156
221,21,994,142,1,cash,03/03/2017 4:18,142
222,57,753,147,1,debit,23/03/2017 7:14,147
223,96,829,765,5,debit,13/03/2017 15:16,153
224,68,767,272,2,credit_card,07/03/2017 9:58,136
225,29,927,163,1,debit,02/03/2017 21:18,163
226,98,734,133,1,cash,08/03/2017 21:43,133
227,58,928,138,1,cash,18/03/2017 12:59,138
228,73,917,330,2,debit,19/03/2017 22:59,165
229,92,757,90,1,debit,13/03/2017 23:57,90
230,79,772,362,2,cash,28/03/2017 7:21,181
231,68,865,272,2,cash,04/03/2017 19:40,136
232,27,730,338,2,cash,03/03/2017 5:49,169
233,6,865,374,2,cash,08/03/2017 4:40,187
234,95,761,336,2,credit_card,29/03/2017 1:14,168
235,29,719,326,2,cash,22/03/2017 21:56,163
236,60,938,531,3,debit,29/03/2017 13:49,177
237,92,837,180,2,credit_card,18/03/2017 20:51,90
238,99,835,585,3,debit,03/03/2017 17:45,195
239,2,932,188,2,debit,17/03/2017 0:45,94
240,68,967,136,1,cash,09/03/2017 13:15,136
241,88,876,176,1,credit_card,08/03/2017 18:10,176
242,34,953,244,2,debit,01/03/2017 12:27,122
243,38,881,570,3,credit_card,13/03/2017 19:44,190
244,93,861,114,1,credit_card,03/03/2017 5:19,114
245,32,928,202,2,cash,30/03/2017 9:30,101
246,92,890,360,4,cash,18/03/2017 17:42,90
247,62,786,160,1,cash,12/03/2017 23:19,160
248,26,854,176,1,debit,21/03/2017 19:08,176
249,33,728,173,1,cash,29/03/2017 22:04,173
250,77,732,156,1,debit,20/03/2017 4:20,156
251,96,932,306,2,credit_card,14/03/2017 5:28,153
252,75,892,256,2,debit,24/03/2017 23:34,128
253,76,746,310,2,cash,06/03/2017 15:21,155
254,100,753,222,2,debit,04/03/2017 11:23,111
255,18,843,156,1,credit_card,21/03/2017 0:14,156
256,6,794,187,1,cash,18/03/2017 19:59,187
257,79,844,362,2,credit_card,07/03/2017 20:21,181
258,6,842,374,2,credit_card,18/03/2017 10:12,187
259,75,760,512,4,cash,18/03/2017 8:19,128
260,99,963,780,4,credit_card,25/03/2017 11:41,195
261,52,830,146,1,credit_card,13/03/2017 18:19,146
262,17,775,176,1,credit_card,24/03/2017 14:06,176
263,9,871,236,2,debit,17/03/2017 0:50,118
264,97,827,324,2,debit,03/03/2017 1:06,162
265,16,950,780,5,credit_card,24/03/2017 7:32,156
266,69,871,262,2,debit,20/03/2017 16:59,131
267,12,879,201,1,cash,14/03/2017 12:22,201
268,73,790,330,2,credit_card,19/03/2017 19:03,165
269,56,733,234,2,credit_card,07/03/2017 3:50,117
270,6,986,187,1,credit_card,18/03/2017 20:16,187
271,33,926,173,1,debit,17/03/2017 9:08,173
272,12,727,402,2,credit_card,24/03/2017 22:40,201
273,32,839,202,2,debit,14/03/2017 5:00,101
274,34,803,122,1,cash,03/03/2017 9:05,122
275,5,967,426,3,cash,03/03/2017 7:38,142
276,55,989,171,1,credit_card,25/03/2017 15:16,171
277,49,777,129,1,cash,30/03/2017 21:49,129
278,51,954,374,2,credit_card,17/03/2017 4:59,187
279,54,763,266,2,cash,29/03/2017 5:18,133
280,4,869,128,1,credit_card,05/03/2017 8:27,128
281,90,807,534,3,debit,27/03/2017 23:41,178
282,6,836,561,3,debit,14/03/2017 2:26,187
283,71,700,492,3,cash,26/03/2017 4:43,164
284,9,772,354,3,debit,04/03/2017 13:49,118
285,64,711,399,3,debit,11/03/2017 20:07,133
286,77,742,156,1,cash,14/03/2017 2:40,156
287,58,860,414,3,debit,15/03/2017 21:12,138
288,54,945,266,2,credit_card,23/03/2017 17:42,133
289,47,806,290,2,debit,24/03/2017 17:51,145
290,50,803,386,2,debit,30/03/2017 5:45,193
291,33,858,346,2,credit_card,12/03/2017 8:03,173
292,5,890,142,1,credit_card,29/03/2017 21:22,142
293,19,936,326,2,cash,21/03/2017 3:53,163
294,51,918,561,3,cash,14/03/2017 13:22,187
295,11,738,184,1,cash,06/03/2017 10:03,184
296,38,835,190,1,debit,21/03/2017 6:36,190
297,79,791,181,1,credit_card,22/03/2017 17:03,181
298,70,818,346,2,debit,04/03/2017 17:30,173
299,53,928,112,1,credit_card,12/03/2017 19:19,112
300,29,964,489,3,debit,11/03/2017 4:36,163
301,70,882,173,1,credit_card,17/03/2017 2:51,173
302,69,854,131,1,debit,19/03/2017 18:35,131
303,25,815,390,3,cash,09/03/2017 22:00,130
304,15,952,153,1,cash,10/03/2017 17:49,153
305,94,916,268,2,cash,29/03/2017 22:46,134
306,25,701,390,3,cash,24/03/2017 19:36,130
307,34,924,122,1,debit,02/03/2017 17:32,122
308,60,992,354,2,cash,12/03/2017 19:44,177
309,42,770,352,1,credit_card,11/03/2017 18:14,352
310,5,704,284,2,credit_card,20/03/2017 7:50,142
311,79,720,181,1,debit,16/03/2017 3:29,181
312,76,836,310,2,debit,22/03/2017 9:16,155
313,96,718,459,3,cash,10/03/2017 20:06,153
314,24,938,420,3,credit_card,14/03/2017 7:24,140
315,6,712,374,2,credit_card,25/03/2017 11:59,187
316,2,865,282,3,debit,17/03/2017 0:21,94
317,11,880,368,2,credit_card,21/03/2017 14:56,184
318,52,848,292,2,cash,30/03/2017 23:41,146
319,83,951,258,2,debit,04/03/2017 5:10,129
320,23,840,156,1,cash,04/03/2017 3:55,156
321,36,888,260,2,debit,15/03/2017 22:33,130
322,10,877,296,2,credit_card,12/03/2017 7:12,148
323,92,783,90,1,debit,08/03/2017 3:49,90
324,75,893,128,1,credit_card,05/03/2017 0:04,128
325,79,887,181,1,debit,19/03/2017 10:55,181
326,14,779,232,2,credit_card,15/03/2017 7:05,116
327,12,920,201,1,debit,26/03/2017 19:24,201
328,75,832,128,1,credit_card,16/03/2017 12:54,128
329,83,946,258,2,credit_card,26/03/2017 6:35,129
330,36,763,260,2,credit_card,21/03/2017 19:32,130
331,80,990,290,2,cash,18/03/2017 22:26,145
332,40,776,322,2,cash,12/03/2017 15:02,161
333,57,794,441,3,credit_card,22/03/2017 0:43,147
334,68,968,272,2,debit,02/03/2017 15:39,136
335,44,829,432,3,debit,23/03/2017 21:27,144
336,92,853,180,2,cash,27/03/2017 12:53,90
337,18,969,468,3,debit,26/03/2017 0:49,156
338,91,811,640,4,credit_card,10/03/2017 13:14,160
339,52,892,146,1,debit,17/03/2017 5:02,146
340,35,893,656,4,cash,15/03/2017 11:25,164
341,7,826,336,3,debit,17/03/2017 15:13,112
342,54,735,399,3,credit_card,17/03/2017 22:49,133
343,98,999,266,2,cash,23/03/2017 3:32,133
344,63,743,136,1,credit_card,07/03/2017 1:45,136
345,84,726,459,3,credit_card,03/03/2017 12:54,153
346,72,818,160,1,debit,05/03/2017 12:53,160
347,40,758,161,1,credit_card,05/03/2017 2:54,161
348,1,907,158,1,credit_card,03/03/2017 6:59,158
349,31,759,387,3,debit,24/03/2017 2:21,129
350,80,864,145,1,debit,25/03/2017 23:51,145
351,98,958,133,1,cash,04/03/2017 5:55,133
352,34,956,244,2,debit,01/03/2017 10:21,122
353,95,718,336,2,debit,14/03/2017 18:44,168
354,31,923,258,2,debit,14/03/2017 5:30,129
355,3,797,148,1,cash,10/03/2017 18:58,148
356,54,804,266,2,cash,19/03/2017 15:41,133
357,14,806,232,2,credit_card,28/03/2017 15:04,116
358,33,790,519,3,credit_card,11/03/2017 17:23,173
359,14,852,232,2,debit,17/03/2017 13:35,116
360,5,886,284,2,credit_card,14/03/2017 6:28,142
361,80,963,435,3,debit,11/03/2017 8:31,145
362,90,933,534,3,cash,16/03/2017 7:20,178
363,53,972,224,2,debit,14/03/2017 20:57,112
364,58,889,414,3,debit,04/03/2017 18:43,138
365,100,784,111,1,debit,02/03/2017 3:36,111
366,11,974,368,2,credit_card,08/03/2017 0:59,184
367,98,803,399,3,cash,26/03/2017 10:40,133
368,20,917,381,3,credit_card,06/03/2017 17:28,127
369,92,906,180,2,cash,05/03/2017 0:22,90
370,28,901,164,1,credit_card,25/03/2017 4:37,164
371,22,736,292,2,credit_card,18/03/2017 10:01,146
372,37,986,426,3,credit_card,05/03/2017 8:46,142
373,98,807,133,1,credit_card,21/03/2017 6:33,133
374,72,713,480,3,debit,18/03/2017 16:44,160
375,1,948,632,4,cash,10/03/2017 13:40,158
376,35,752,328,2,credit_card,28/03/2017 19:46,164
377,40,986,322,2,credit_card,02/03/2017 12:05,161
378,10,794,148,1,cash,26/03/2017 14:07,148
379,35,848,328,2,debit,03/03/2017 20:59,164
380,57,920,147,1,credit_card,03/03/2017 0:44,147
381,15,749,153,1,credit_card,09/03/2017 8:30,153
382,35,828,164,1,cash,10/03/2017 13:56,164
383,80,867,435,3,credit_card,30/03/2017 17:30,145
384,30,858,459,3,cash,18/03/2017 14:01,153
385,11,868,368,2,debit,08/03/2017 4:27,184
386,68,900,272,2,debit,08/03/2017 23:01,136
387,30,768,153,1,cash,13/03/2017 13:42,153
388,35,891,164,1,debit,03/03/2017 0:43,164
389,1,713,316,2,cash,12/03/2017 22:22,158
390,23,929,468,3,credit_card,12/03/2017 17:23,156
391,7,718,336,3,credit_card,20/03/2017 17:25,112
392,84,862,459,3,credit_card,20/03/2017 16:41,153
393,63,936,272,2,credit_card,01/03/2017 20:51,136
394,69,736,131,1,cash,19/03/2017 20:59,131
395,46,804,166,1,credit_card,28/03/2017 17:53,166
396,43,989,362,2,debit,21/03/2017 23:17,181
397,7,949,224,2,debit,29/03/2017 4:46,112
398,52,786,292,2,credit_card,09/03/2017 11:35,146
399,22,749,438,3,cash,13/03/2017 14:53,146
400,73,894,495,3,credit_card,06/03/2017 1:57,165
401,35,704,328,2,cash,07/03/2017 7:57,164
402,79,771,543,3,debit,12/03/2017 3:45,181
403,59,753,178,1,credit_card,13/03/2017 4:30,178
404,43,951,543,3,credit_card,01/03/2017 23:52,181
405,11,850,368,2,credit_card,18/03/2017 0:20,184
406,37,791,142,1,debit,25/03/2017 16:21,142
407,29,976,163,1,cash,08/03/2017 21:31,163
408,48,954,351,3,debit,09/03/2017 1:22,117
409,55,991,171,1,credit_card,09/03/2017 12:51,171
410,42,904,704,2,credit_card,04/03/2017 14:32,352
411,32,785,202,2,cash,21/03/2017 7:11,101
412,15,927,153,1,credit_card,11/03/2017 22:15,153
413,38,867,190,1,debit,05/03/2017 0:39,190
414,94,934,402,3,debit,13/03/2017 17:36,134
415,98,859,266,2,credit_card,28/03/2017 14:01,133
416,40,879,161,1,cash,12/03/2017 6:38,161
417,71,991,492,3,debit,11/03/2017 15:27,164
418,64,723,266,2,cash,03/03/2017 16:44,133
419,77,838,312,2,debit,05/03/2017 14:02,156
420,84,873,153,1,credit_card,05/03/2017 1:28,153
421,8,914,132,1,debit,27/03/2017 9:49,132
422,97,886,486,3,debit,14/03/2017 3:58,162
423,59,864,356,2,debit,18/03/2017 20:23,178
424,46,748,332,2,debit,12/03/2017 6:36,166
425,79,932,543,3,debit,09/03/2017 12:04,181
426,5,759,142,1,debit,25/03/2017 23:22,142
427,20,893,508,4,debit,28/03/2017 1:23,127
428,99,905,195,1,debit,10/03/2017 5:54,195
429,22,838,292,2,debit,04/03/2017 13:55,146
430,54,762,266,2,debit,03/03/2017 23:40,133
431,20,709,508,4,cash,27/03/2017 13:43,127
432,98,841,266,2,credit_card,12/03/2017 18:26,133
433,93,748,228,2,debit,07/03/2017 1:02,114
434,39,853,134,1,debit,28/03/2017 17:11,134
435,60,768,354,2,credit_card,19/03/2017 12:58,177
436,43,869,362,2,debit,21/03/2017 1:09,181
437,59,976,178,1,debit,27/03/2017 5:28,178
438,4,770,128,1,debit,08/03/2017 13:11,128
439,84,835,459,3,debit,15/03/2017 23:32,153
440,72,972,160,1,credit_card,26/03/2017 8:14,160
441,46,870,332,2,debit,18/03/2017 12:21,166
442,98,856,399,3,credit_card,22/03/2017 7:58,133
443,9,953,118,1,credit_card,30/03/2017 2:14,118
444,68,938,272,2,debit,06/03/2017 9:04,136
445,50,787,193,1,debit,21/03/2017 10:26,193
446,52,732,292,2,debit,02/03/2017 7:24,146
447,96,957,459,3,debit,09/03/2017 8:40,153
448,84,789,612,4,cash,09/03/2017 1:31,153
449,75,848,128,1,credit_card,06/03/2017 3:24,128
450,91,841,320,2,credit_card,06/03/2017 13:34,160
451,81,949,531,3,debit,02/03/2017 9:41,177
452,63,749,272,2,credit_card,24/03/2017 10:15,136
453,89,779,392,2,debit,16/03/2017 18:22,196
454,91,920,320,2,cash,30/03/2017 19:38,160
455,37,944,568,4,credit_card,19/03/2017 15:49,142
456,63,932,408,3,cash,29/03/2017 20:56,136
457,17,782,352,2,debit,19/03/2017 22:06,176
458,75,732,256,2,credit_card,06/03/2017 2:32,128
459,87,867,298,2,debit,25/03/2017 11:16,149
460,33,898,519,3,credit_card,01/03/2017 1:17,173
461,70,748,346,2,credit_card,27/03/2017 14:30,173
462,65,983,154,1,credit_card,11/03/2017 18:27,154
463,95,728,336,2,cash,28/03/2017 5:10,168
464,85,966,172,1,credit_card,30/03/2017 16:31,172
465,85,835,516,3,debit,28/03/2017 20:12,172
466,23,952,312,2,credit_card,21/03/2017 23:43,156
467,7,941,224,2,credit_card,10/03/2017 17:10,112
468,87,896,149,1,debit,10/03/2017 20:08,149
469,2,841,188,2,cash,21/03/2017 18:38,94
470,23,892,156,1,debit,09/03/2017 22:33,156
471,24,776,280,2,debit,11/03/2017 2:39,140
472,27,774,169,1,credit_card,23/03/2017 19:54,169
473,99,914,195,1,cash,09/03/2017 5:52,195
474,63,966,272,2,credit_card,09/03/2017 2:41,136
475,99,829,390,2,debit,06/03/2017 4:27,195
476,55,738,171,1,debit,11/03/2017 15:41,171
477,29,784,163,1,debit,25/03/2017 11:58,163
478,44,998,144,1,credit_card,06/03/2017 20:51,144
479,25,822,260,2,debit,18/03/2017 4:53,130
480,93,724,114,1,credit_card,04/03/2017 1:46,114
481,4,757,512,4,debit,25/03/2017 18:08,128
482,100,889,222,2,cash,18/03/2017 6:50,111
483,100,947,111,1,debit,21/03/2017 11:23,111
484,88,989,352,2,credit_card,08/03/2017 9:18,176
485,59,748,534,3,debit,18/03/2017 14:37,178
486,95,884,504,3,debit,07/03/2017 19:28,168
487,26,778,176,1,cash,21/03/2017 12:42,176
488,59,937,178,1,credit_card,04/03/2017 18:15,178
489,9,790,118,1,debit,01/03/2017 23:27,118
490,40,989,322,2,credit_card,26/03/2017 8:51,161
491,78,936,51450,2,debit,26/03/2017 17:08,25725
492,18,727,156,1,debit,19/03/2017 11:27,156
493,4,877,256,2,debit,22/03/2017 1:52,128
494,78,983,51450,2,cash,16/03/2017 21:39,25725
495,65,796,308,2,credit_card,13/03/2017 13:47,154
496,59,974,712,4,debit,10/03/2017 8:59,178
497,12,818,402,2,cash,04/03/2017 7:42,201
498,19,831,489,3,credit_card,29/03/2017 8:50,163
499,89,827,392,2,credit_card,28/03/2017 2:44,196
500,75,959,256,2,debit,20/03/2017 1:41,128
501,25,932,520,4,credit_card,27/03/2017 1:40,130
502,36,855,130,1,credit_card,18/03/2017 0:18,130
503,23,786,156,1,cash,28/03/2017 1:24,156
504,60,764,177,1,debit,25/03/2017 15:10,177
505,35,989,164,1,debit,20/03/2017 21:04,164
506,13,970,480,3,cash,18/03/2017 8:25,160
507,24,896,420,3,credit_card,14/03/2017 9:59,140
508,19,997,163,1,debit,23/03/2017 4:02,163
509,72,810,160,1,debit,15/03/2017 17:49,160
510,27,842,169,1,cash,22/03/2017 6:42,169
511,14,923,116,1,debit,21/03/2017 10:41,116
512,78,967,51450,2,cash,09/03/2017 7:23,25725
513,61,798,316,2,debit,23/03/2017 13:56,158
514,72,881,480,3,debit,07/03/2017 11:14,160
515,94,858,670,5,cash,11/03/2017 22:07,134
516,19,762,163,1,cash,20/03/2017 11:57,163
517,80,946,145,1,cash,21/03/2017 7:43,145
518,35,759,328,2,debit,08/03/2017 22:40,164
519,59,827,178,1,credit_card,05/03/2017 12:30,178
520,16,961,312,2,debit,15/03/2017 11:39,156
